modelo,fpr,tpr,umbral
Naive Bayes complementario,0.33256616800920596,0.8440366972477065,0.3145597011509267
Naive Bayes complementario,0.3383199079401611,0.8440366972477065,0.3121016024605212
Naive Bayes complementario,0.3383199079401611,0.845565749235474,0.30921298538323577
Naive Bayes complementario,0.3429228998849252,0.845565749235474,0.3066640863741327
Naive Bayes complementario,0.3429228998849252,0.8470948012232415,0.3063721321408816
Naive Bayes complementario,0.3440736478711162,0.8470948012232415,0.30553088683942486
Naive Bayes complementario,0.3440736478711162,0.8486238532110092,0.30531563181211024
Naive Bayes complementario,0.34637514384349827,0.8486238532110092,0.3049564454125735
Naive Bayes complementario,0.34637514384349827,0.8501529051987767,0.30291068317412345
Naive Bayes complementario,0.3486766398158803,0.8501529051987767,0.3007304381762513
Naive Bayes complementario,0.3486766398158803,0.8516819571865444,0.2990177711410745
Naive Bayes complementario,0.3532796317606444,0.8516819571865444,0.2930186585785539
Naive Bayes complementario,0.3532796317606444,0.8547400611620795,0.29199193964926995
Naive Bayes complementario,0.36018411967779057,0.8547400611620795,0.28932669129161703
Naive Bayes complementario,0.36018411967779057,0.8562691131498471,0.2891588014229347
Naive Bayes complementario,0.3659378596087457,0.8562691131498471,0.28522583626895515
Naive Bayes complementario,0.3659378596087457,0.8577981651376146,0.2833803978773572
Naive Bayes complementario,0.36823935558112775,0.8577981651376146,0.282798421543862
Naive Bayes complementario,0.36823935558112775,0.8608562691131498,0.2820629431163825
Naive Bayes complementario,0.37284234752589185,0.8608562691131498,0.2799099386651547
Naive Bayes complementario,0.37284234752589185,0.863914373088685,0.27947981060005567
Naive Bayes complementario,0.3739930955120829,0.863914373088685,0.2783134472979757
Naive Bayes complementario,0.3762945914844649,0.863914373088685,0.278057916099029
Naive Bayes complementario,0.380897583429229,0.863914373088685,0.27735330067815644
Naive Bayes complementario,0.380897583429229,0.8654434250764526,0.27460045932211
Naive Bayes complementario,0.3878020713463751,0.8654434250764526,0.2723067284721576
Naive Bayes complementario,0.3878020713463751,0.8669724770642202,0.27161870118173
Naive Bayes complementario,0.39815880322209435,0.8669724770642202,0.26706252538556136
Naive Bayes complementario,0.39815880322209435,0.8685015290519877,0.26586803970657324
Naive Bayes complementario,0.40276179516685845,0.8685015290519877,0.26352404380989564
Naive Bayes complementario,0.40276179516685845,0.8700305810397554,0.26283896285481234
Naive Bayes complementario,0.4039125431530495,0.8700305810397554,0.26275803731403213
Naive Bayes complementario,0.4039125431530495,0.8715596330275229,0.2620838554684061
Naive Bayes complementario,0.4154200230149597,0.8715596330275229,0.2584185779480476
Naive Bayes complementario,0.4154200230149597,0.8730886850152905,0.25778185564524564
Naive Bayes complementario,0.41657077100115075,0.8730886850152905,0.2573964734577925
Naive Bayes complementario,0.4188722669735328,0.8730886850152905,0.2573127032934877
Naive Bayes complementario,0.4188722669735328,0.8746177370030581,0.25704730779523266
Naive Bayes complementario,0.4234752589182969,0.8746177370030581,0.2542139158115061
Naive Bayes complementario,0.4234752589182969,0.8761467889908257,0.25419133315658005
Naive Bayes complementario,0.42692750287687,0.8761467889908257,0.252988398810886
Naive Bayes complementario,0.42692750287687,0.8776758409785933,0.2525971677452578
Naive Bayes complementario,0.4361334867663982,0.8776758409785933,0.2509145988387211
Naive Bayes complementario,0.4361334867663982,0.882262996941896,0.24976400326009313
Naive Bayes complementario,0.43843498273878023,0.882262996941896,0.24971753973048388
Naive Bayes complementario,0.43843498273878023,0.8837920489296636,0.24904288358285856
Naive Bayes complementario,0.43958573072497126,0.8837920489296636,0.2484254627487108
Naive Bayes complementario,0.44188722669735325,0.8837920489296636,0.24838925925343994
Naive Bayes complementario,0.4487917146144994,0.8837920489296636,0.24590557392115
Naive Bayes complementario,0.4487917146144994,0.8853211009174312,0.24590053143687832
Naive Bayes complementario,0.45109321058688145,0.8853211009174312,0.24538373508238986
Naive Bayes complementario,0.45109321058688145,0.8868501529051988,0.24508395187079013
Naive Bayes complementario,0.4522439585730725,0.8868501529051988,0.2444880689975719
Naive Bayes complementario,0.4522439585730725,0.8899082568807339,0.24253866878877856
Naive Bayes complementario,0.4533947065592635,0.8899082568807339,0.24251107869610075
Naive Bayes complementario,0.4533947065592635,0.8914373088685015,0.24167668219767488
Naive Bayes complementario,0.48216340621403914,0.8914373088685015,0.23095610745870923
Naive Bayes complementario,0.48216340621403914,0.8960244648318043,0.2296652688178849
Naive Bayes complementario,0.4844649021864212,0.8960244648318043,0.22940006043725766
Naive Bayes complementario,0.4844649021864212,0.8975535168195719,0.2289274008395829
Naive Bayes complementario,0.4856156501726122,0.8975535168195719,0.22871106154699444
Naive Bayes complementario,0.4856156501726122,0.8990825688073395,0.2281293118460619
Naive Bayes complementario,0.48676639815880324,0.8990825688073395,0.22801539551259833
Naive Bayes complementario,0.48676639815880324,0.900611620795107,0.2280112903576437
Naive Bayes complementario,0.49136939010356734,0.900611620795107,0.2256672739398888
Naive Bayes complementario,0.4936708860759494,0.900611620795107,0.22562367509097375
Naive Bayes complementario,0.4948216340621404,0.900611620795107,0.22517465309610438
Naive Bayes complementario,0.4948216340621404,0.9021406727828746,0.2250441867059326
Naive Bayes complementario,0.49597238204833144,0.9021406727828746,0.2243523650073561
Naive Bayes complementario,0.49597238204833144,0.9036697247706422,0.22421935689795172
Naive Bayes complementario,0.5017261219792866,0.9036697247706422,0.2229322194187356
Naive Bayes complementario,0.5051783659378596,0.9036697247706422,0.22015878564777067
Naive Bayes complementario,0.5051783659378596,0.908256880733945,0.21910085282288458
Naive Bayes complementario,0.5086306098964327,0.908256880733945,0.21726952972269994
Naive Bayes complementario,0.5086306098964327,0.9097859327217125,0.21702268764015906
Naive Bayes complementario,0.5178365937859609,0.9097859327217125,0.21501948573866944
Naive Bayes complementario,0.5178365937859609,0.9113149847094801,0.21351047372842094
Naive Bayes complementario,0.523590333716916,0.9113149847094801,0.20994510417057602
Naive Bayes complementario,0.523590333716916,0.9128440366972477,0.20993256675393268
Naive Bayes complementario,0.5281933256616801,0.9128440366972477,0.20882928161189282
Naive Bayes complementario,0.5304948216340621,0.9128440366972477,0.20864583285119864
Naive Bayes complementario,0.5327963176064442,0.9128440366972477,0.20814037638320756
Naive Bayes complementario,0.5327963176064442,0.9143730886850153,0.20804703016448128
Naive Bayes complementario,0.5362485615650172,0.9143730886850153,0.20680550811481538
Naive Bayes complementario,0.5362485615650172,0.9159021406727829,0.20634372158469413
Naive Bayes complementario,0.5443037974683544,0.9159021406727829,0.20278675283449857
Naive Bayes complementario,0.5443037974683544,0.9174311926605505,0.2021787225730575
Naive Bayes complementario,0.5523590333716916,0.9174311926605505,0.19497451219378556
Naive Bayes complementario,0.5523590333716916,0.918960244648318,0.19394014772669352
